host_listings_count,review_scores_rating,neighbourhood_cleansed,property_type,accommodates,room_type,bedrooms,beds,price,minimum_nights,bathrooms_text,maximum_nights,number_of_reviews,latitude,longitude
2.0,4.68,Copacabana,Entire condominium (condo),5,Entire home/apt,2.0,2.0,350.0,5,1.0,180,267,-22.96599,-43.1794
0.0,4.73,Ipanema,Entire rental unit,2,Entire home/apt,1.0,1.0,296.0,3,1.0,90,85,-22.98405,-43.20189
3.0,4.68,Copacabana,Entire rental unit,3,Entire home/apt,1.0,1.0,387.0,3,1.0,90,238,-22.97735,-43.19105
1.0,4.72,Ipanema,Entire rental unit,2,Entire home/apt,1.0,1.0,172.0,2,1.0,89,181,-22.98839,-43.19232
1.0,4.89,Copacabana,Entire loft,2,Entire home/apt,1.0,1.0,260.0,3,1.0,15,378,-22.98107,-43.19136
9.0,4.61,Ipanema,Entire rental unit,13,Entire home/apt,6.0,7.0,4217.0,2,15.0,89,91,-22.98591,-43.20302
2.0,4.88,Copacabana,Private room in rental unit,1,Private room,1.0,1.0,114.0,3,1.0,30,42,-22.98528,-43.19264
3.0,4.43,Copacabana,Entire rental unit,9,Entire home/apt,4.0,5.0,2015.0,2,3.0,750,8,-22.96574,-43.17514
48.0,4.74,Copacabana,Entire rental unit,3,Entire home/apt,1.0,1.0,380.0,3,1.0,90,106,-22.9791,-43.19008
9.0,4.46,Ipanema,Entire rental unit,6,Entire home/apt,3.0,3.0,2310.0,2,3.0,89,74,-22.98584,-43.20305
2.0,4.57,Barra da Tijuca,Entire residential home,14,Entire home/apt,6.0,10.0,3050.0,1,7.0,730,7,-23.00451,-43.30873
2.0,4.74,Copacabana,Entire rental unit,2,Entire home/apt,0.0,1.0,693.0,3,1.0,1125,188,-22.98234,-43.19164
1.0,5.0,Joá,Entire residential home,10,Entire home/apt,4.0,6.0,2513.0,2,4.0,365,16,-23.00809,-43.29113
1.0,4.85,Ipanema,Entire rental unit,6,Entire home/apt,3.0,3.0,1157.0,3,2.0,1125,28,-22.98169,-43.2028
9.0,4.36,Ipanema,Entire rental unit,6,Entire home/apt,3.0,7.0,3325.0,2,7.0,89,67,-22.98599,-43.20299
2.0,4.0,Flamengo,Entire rental unit,4,Entire home/apt,3.0,4.0,220.0,4,2.0,1125,1,-22.92837,-43.17473
3.0,4.9,Copacabana,Entire rental unit,2,Entire home/apt,0.0,1.0,380.0,3,1.0,89,226,-22.9824,-43.19593
1.0,4.64,Copacabana,Private room in rental unit,2,Private room,1.0,1.0,221.0,4,1.0,365,79,-22.98553,-43.18964
5.0,4.77,Ipanema,Entire rental unit,6,Entire home/apt,1.0,5.0,786.0,2,2.0,420,422,-22.9854,-43.19602
1.0,4.86,Ipanema,Entire rental unit,2,Entire home/apt,1.0,1.0,851.0,5,1.0,120,14,-22.98467,-43.19941
0.0,4.3,Copacabana,Entire rental unit,12,Entire home/apt,4.0,8.0,3149.0,2,4.0,365,127,-22.98192,-43.19397
7.0,4.78,Santa Teresa,Private room in bed and breakfast,16,Private room,7.0,10.0,225.0,7,5.0,90,215,-22.92742,-43.19464
8.0,4.7,Gávea,Entire rental unit,4,Entire home/apt,1.0,2.0,373.0,5,1.0,89,37,-22.97766,-43.2311
2.0,4.75,Santa Teresa,Private room in rental unit,2,Private room,1.0,1.0,243.0,2,2.0,60,14,-22.92456,-43.19028
7.0,4.59,Leblon,Entire rental unit,5,Entire home/apt,1.0,3.0,690.0,2,1.0,90,92,-22.98361,-43.21827
10.0,4.57,Copacabana,Entire rental unit,2,Entire home/apt,1.0,1.0,500.0,5,0.0,30,7,-22.98174,-43.19039
1.0,4.620987361262592,Jacarepaguá,Private room in rental unit,2,Private room,1.0,2.0,851.0,1,2.0,90,0,-22.97293,-43.38321
