"Gasto Mensal - Total da Cesta","Brasília","Campo Grande","Cuiabá","Goiânia","Belo Horizonte","Rio de Janeiro","São Paulo","Vitória","Curitiba","Florianópolis","Porto Alegre","Belém","Boa Vista","Macapá","Manaus","Palmas","Porto Velho","Rio Branco","Aracaju","Fortaleza","João Pessoa","Maceió","Natal","Recife","Salvador","São Luís","Teresina","Macaé"
"01-2003","155.98","","","141.61","150.53","150.74","162.79","137.93","154.13","150.64","164.97","139.39","","","","","","","140.63","132.40","125.97","","129.28","126.62","132.43","","",""
"02-2003","160.69","","","143.78","153.62","156.10","166.54","143.98","158.24","155.50","165.55","141.94","","","","","","","145.21","136.16","131.74","","137.66","135.99","134.40","","",""
"03-2003","167.49","","","153.60","163.76","166.76","174.59","149.28","166.89","163.10","172.85","151.22","","","","","","","148.41","142.43","133.55","","139.84","136.71","140.27","","",""
"04-2003","170.14","","","151.08","167.94","173.20","185.40","155.75","170.33","164.49","184.64","162.28","","","","","","","156.59","149.66","143.43","","150.57","147.50","147.14","","",""
"05-2003","164.13","","","148.23","161.02","166.52","175.95","149.85","163.53","162.41","174.24","158.50","","","","","","","157.83","142.65","138.35","","145.90","142.36","142.66","","",""
"06-2003","159.08","","","140.79","152.28","157.31","169.22","146.67","155.33","154.43","167.96","142.37","","","","","","","151.64","137.80","134.94","","137.29","141.83","140.17","","",""
"07-2003","155.00","","","138.03","144.46","152.35","162.15","140.83","149.06","149.83","166.23","140.74","","","","","","","136.55","131.79","131.64","","134.69","137.43","137.28","","",""
"08-2003","152.55","","","135.11","141.83","145.96","158.34","136.73","148.21","145.78","161.77","132.68","","","","","","","138.44","128.15","126.34","","130.71","124.65","132.30","","",""
"09-2003","153.35","","","134.80","146.87","149.52","161.45","138.67","151.10","145.44","162.69","134.50","","","","","","","135.89","126.97","129.03","","131.43","125.64","133.70","","",""
"10-2003","154.30","","","135.50","148.51","152.98","162.58","137.30","155.70","149.50","165.62","137.50","","","","","","","130.40","127.83","124.14","","132.51","123.10","129.26","","",""
"11-2003","160.26","","","137.37","151.76","158.11","163.54","139.28","159.15","148.51","167.69","139.32","","","","","","","136.23","129.20","127.71","","128.57","127.59","134.43","","",""
