Data,Salário mínimo vigente - R$ - Ministério da Economia- Outras (Min- Economia/Outras) - MTE12_SALMIN12,
2003-01,200,
2003-02,200,
2003-03,200,
2003-04,240,
2003-05,240,
2003-06,240,
2003-07,240,
2003-08,240,
2003-09,240,
2003-10,240,
2003-11,240,
2003-12,240,
2004-01,240,
2004-02,240,
2004-03,240,
2004-04,240,
2004-05,260,
2004-06,260,
2004-07,260,
2004-08,260,
2004-09,260,
2004-10,260,
2004-11,260,
2004-12,260,
2005-01,260,
2005-02,260,
2005-03,260,
2005-04,260,
2005-05,300,
2005-06,300,
2005-07,300,
2005-08,300,
2005-09,300,
2005-10,300,
2005-11,300,
2005-12,300,
2006-01,300,
2006-02,300,
2006-03,300,
2006-04,350,
2006-05,350,
2006-06,350,
2006-07,350,
2006-08,350,
2006-09,350,
2006-10,350,
2006-11,350,
2006-12,350,
2007-01,350,
2007-02,350,
2007-03,350,
2007-04,380,
2007-05,380,
2007-06,380,
2007-07,380,
2007-08,380,
2007-09,380,
2007-10,380,
2007-11,380,
2007-12,380,
2008-01,380,
2008-02,380,
2008-03,415,
2008-04,415,
2008-05,415,
2008-06,415,
2008-07,415,
2008-08,415,
2008-09,415,
2008-10,415,
2008-11,415,
2008-12,415,
2009-01,415,
2009-02,465,
2009-03,465,
2009-04,465,
2009-05,465,
2009-06,465,
2009-07,465,
2009-08,465,
2009-09,465,
2009-10,465,
2009-11,465,
2009-12,465,
2010-01,510,
2010-02,510,
2010-03,510,
2010-04,510,
2010-05,510,
2010-06,510,
2010-07,510,
2010-08,510,
2010-09,510,
2010-10,510,
2010-11,510,
2010-12,510,
2011-01,540,
2011-02,540,
2011-03,545,
2011-04,545,
2011-05,545,
2011-06,545,
2011-07,545,
2011-08,545,
2011-09,545,
2011-10,545,
2011-11,545,
2011-12,545,
2012-01,622,
2012-02,622,
2012-03,622,
2012-04,622,
2012-05,622,
2012-06,622,
2012-07,622,
2012-08,622,
2012-09,622,
2012-10,622,
2012-11,622,
2012-12,622,
2013-01,678,
2013-02,678,
2013-03,678,
2013-04,678,
2013-05,678,
2013-06,678,
2013-07,678,
2013-08,678,
2013-09,678,
2013-10,678,
2013-11,678,
2013-12,678,
2014-01,724,
2014-02,724,
2014-03,724,
2014-04,724,
2014-05,724,
2014-06,724,
2014-07,724,
2014-08,724,
2014-09,724,
2014-10,724,
2014-11,724,
2014-12,724,
2015-01,788,
2015-02,788,
2015-03,788,
2015-04,788,
2015-05,788,
2015-06,788,
2015-07,788,
2015-08,788,
2015-09,788,
2015-10,788,
2015-11,788,
2015-12,788,
2016-01,880,
2016-02,880,
2016-03,880,
2016-04,880,
2016-05,880,
2016-06,880,
2016-07,880,
2016-08,880,
2016-09,880,
2016-10,880,
2016-11,880,
2016-12,880,
2017-01,937,
2017-02,937,
2017-03,937,
2017-04,937,
2017-05,937,
2017-06,937,
2017-07,937,
2017-08,937,
2017-09,937,
2017-10,937,
2017-11,937,
2017-12,937,
2018-01,954,
2018-02,954,
2018-03,954,
2018-04,954,
2018-05,954,
2018-06,954,
2018-07,954,
2018-08,954,
2018-09,954,
2018-10,954,
2018-11,954,
2018-12,954,
2019-01,998,
2019-02,998,
2019-03,998,
2019-04,998,
2019-05,998,
2019-06,998,
2019-07,998,
2019-08,998,
2019-09,998,
2019-10,998,
2019-11,998,
2019-12,998,
2020-01,1039,
2020-02,1045,
2020-03,1045,
2020-04,1045,
2020-05,1045,
2020-06,1045,
2020-07,1045,
2020-08,1045,
2020-09,1045,
2020-10,1045,
2020-11,1045,
2020-12,1045,
2021-01,1100,
2021-02,1100,
2021-03,1100,
2021-04,1100,
2021-05,1100,
2021-06,1100,
2021-07,1100,
2021-08,1100,
2021-09,1100,
2021-10,1100,
2021-11,1100,
2021-12,1100,
2022-01,1212,
2022-02,1212,
2022-03,1212,
2022-04,1212,
